item_id,name,description,category,price,address
0x872274e3e2975043:0xb4fe9f2dcc5b1fc1,Azuma Sushi & Teppan,"Japanese option with serene decor, a sushi bar, steaks & theatrically grilled-to-order entrees.","['Japanese restaurant', 'Japanese steakhouse', 'Seafood restaurant', 'Sushi restaurant']",$$,"Azuma Sushi & Teppan, 4701 San Mateo Blvd NE, Albuquerque, NM 87109, United States"
0x87220b6914bcfb55:0xa40235bf21665c8f,Mannie's Restaurant,"No-frills spot dishing American & Mexican diner dishes, with breakfast served all day.","['Diner', 'Takeout Restaurant', 'Restaurant', 'Sandwich shop']",$,"Mannie's Restaurant, 2900 Central Ave SE, Albuquerque, NM 87106, United States"
0x87220ccb8eaa4a07:0xced3feb131b41d4d,Golden Crown Panaderia,"Homey spot for handmade breads, pastries & desserts alongside gourmet pies, empanadas & sandwiches.","['Bakery', 'Coffee shop', 'Pizza restaurant', 'Sandwich shop']",$$,"Golden Crown Panaderia, 1103 Mountain Rd NW, Albuquerque, NM 87102"
0x87227494a7677495:0x8fba739a242a659f,Nexus Brewery & Restaurant,"Craft beer paired with soul food including frito pie, bread pudding & gumbo in a laid-back space.","['Soul food restaurant', 'Brewery', 'Mexican restaurant']",$$,"Nexus Brewery & Restaurant, 4730 Pan American Fwy NE, Albuquerque, NM 87109"
0x8722706b742da4d1:0x52a4abba25cd82b7,Blake's Lotaburger,Iconic New Mexico-based chain famed for green chile cheeseburgers & other fast-food classics.,"['Hamburger restaurant', 'American restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Lunch restaurant']",$,"Blake's Lotaburger, 600 Unser Blvd SE, Rio Rancho, NM 87124"
0x8722714120b92cdb:0x492e4ba593108896,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",$$,"Starbucks, 3410, 200 NM-528 NW, Albuquerque, NM 87114"
0x87227529506ca23d:0x67aec85021dfc98c,Pacific Paradise,"Relaxed, island-themed restaurant serving Pan-Asian dishes, including sushi, stir-fries & curries.","['Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']",$$,"Pacific Paradise, 3000 San Pedro Dr NE Suite D, Albuquerque, NM 87110"
0x87220b8071359a21:0xf4496a48fcbfaefd,Buffalo Wild Wings,Lively sports-bar chain dishing up wings & other American pub grub amid lots of large-screen TVs.,"['Chicken wings restaurant', 'American restaurant', 'Bar & grill', 'Takeout restaurant', 'Restaurant', 'Sports bar']",$$,"Buffalo Wild Wings, 1700 Towne Center Ln, Albuquerque, NM 87106, United States"
0x8722749aa43b49d1:0x239503e41fe93c05,The Home Depot,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).","['Home improvement store', 'Appliance store', 'Bathroom supply store', 'Cabinet store', 'Hardware store', 'Lighting store', 'Paint store', 'Rug store', 'Tool store', 'Window treatment store']",$,"The Home Depot, 1220 N Renaissance Blvd NE, Albuquerque, NM 87107, United States"
0x87220ad3aaeabf87:0x79d5bcd7ff1266dd,LongHorn Steakhouse,Casual steakhouse chain known for grilled beef & other American dishes in a ranch-style space.,"['Steak house', 'Bar & grill', 'Barbecue restaurant', 'Family restaurant', 'Takeout restaurant', 'Traditional American restaurant']",$$,"LongHorn Steakhouse, 6600 Menaul Blvd NE Ste 700, Albuquerque, NM 87110, United States"
0x8718a00652f90d33:0x6e8ff480f4fd9111,Papa Felipe's Mexican Restaurant,"Traditional Mexican & New Mexican dishes served in a comfortable, adobe-inspired dining room.","['Mexican restaurant', 'Caterer', 'Restaurant']",$$,"Papa Felipe's Mexican Restaurant, 9800 Menaul Blvd NE, Albuquerque, NM 87112, United States"
